run,archetype,cluster_kmeans,local_self_sufficiency,centralization,storage_large_share,import_intensity,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_0046,Archetype_1,0,0.5652029069380254,0.9677788294389494,0.5953964334505262,0.0,0,1,0,3,0.3333333333333333,14.08524419392078,16.31334378769262,2.308954015500626,40.52170066997526,1429.94499687827,0.4596363285181422,47.00410072502583,15.67060968778293,242.31607024993,1.191021807579522,1251.7,889.1,466.95,0
parallel_run_0047,Archetype_1,0,0.2304546770116528,0.9606924487159924,0.1735767624022175,0.2238765571526567,0,1,1,5,0.0,12.41392231723704,6.505360896541484,2.371739473104665,32.39759536864331,816.6382880545631,0.5170204646406725,23.22847379435524,49.02752712084806,184.9716219995724,1.138692518506339,1251.7,889.1,466.95,0
parallel_run_0048,Archetype_1,0,0.2278352177001365,0.9798385569827416,0.8333333333333334,0.3874873320344083,0,1,0,3,0.0,11.20531214550689,17.28918987462175,2.41534597807669,62.25120319523698,1520.929737606235,0.5566745144953847,74.0786242796822,117.154618835779,125.2618930845108,1.040699628833873,1251.7,889.1,466.95,0
parallel_run_0049,Archetype_1,0,0.2687743714411164,0.9791454035741028,0.8333333333333334,0.0128988657971632,0,1,1,4,0.25,14.76040816329797,11.89711135068584,3.420702396064348,30.231907913922,1810.531238432742,0.1512092640839279,103.1976415956362,60.53852960346411,259.9151824744392,0.8372539290562797,1251.7,889.1,466.95,0
parallel_run_0050,Archetype_1,1,0.4300420803719755,0.974035165811274,0.8812999310707,0.0232655194359022,0,0,0,2,0.0,7.125713809407731,15.76402470243221,2.203821019158463,30.66474775106086,1916.270048437812,0.5283635710427317,61.25580077898183,29.96136795184568,159.1614013752083,1.233712473598319,1251.7,889.1,466.95,1
parallel_run_0051,Archetype_1,2,1.0,0.9399763587324308,0.9090909090909092,0.1366574174259029,0,1,0,3,0.3333333333333333,8.679848728865139,17.93322578398463,2.012220077079774,83.75880309023228,1452.198189273966,0.1702477055167378,188.3270361277955,136.3991131874458,182.3163284478816,0.9737019697352638,1251.7,889.1,466.95,2
parallel_run_0052,Archetype_1,0,0.4804774021411008,0.9565151407296252,0.8333333333333334,0.007410660229695,0,1,0,3,0.3333333333333333,10.55930465773863,9.95253445312245,2.521216447715092,45.35968846878346,1103.764527095477,0.4796032918726125,40.24829434892813,79.6642707844849,235.4042582741113,1.120275647130058,1251.7,889.1,466.95,0
parallel_run_0053,Archetype_1,1,0.073606632929888,0.9884321440573476,0.8333333333333334,0.0,0,0,0,2,0.0,8.584062378535368,5.204947737148349,3.396878123134748,49.03717145112236,1633.945583329502,0.3831221102711273,55.84174480106363,55.43941616510568,267.3891249190509,1.103848703587101,1251.7,889.1,466.95,1
parallel_run_0054,Archetype_1,2,1.0,0.9282895862522876,0.692572024672746,0.0030561625096581,0,1,0,3,0.3333333333333333,11.48324720641784,13.54496100580118,2.943629403674687,73.69619351630662,959.6890243777384,0.1556452540222857,26.07329355182583,17.9346609870809,270.2527552749784,1.24797609559057,1251.7,889.1,466.95,2
parallel_run_0055,Archetype_1,1,0.1397457637597931,0.9860063870787404,0.8659748890312207,0.5273771808977623,0,0,0,2,0.0,8.239417824778362,19.86594006810631,2.185631748368638,84.78697422249212,1014.516711027553,0.5729610607824123,94.5537552962944,103.539963389083,112.696063975848,0.8568714170808833,1251.7,889.1,466.95,1
