ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;5.53;95.75;3.59
0.0;0.0;0.0;5.64;95.75;3.31
0.0;0.0;0.0;5.65;95.75;3.52
0.0;0.0;0.0;5.6;95.75;3.31
0.0;0.0;0.0;5.53;92.3;2.55
0.0;0.0;0.0;5.56;95.75;2.0
74.0;264.95;43.0;5.67;95.75;1.93
208.0;663.79;53.0;6.03;92.3;2.34
297.0;721.57;69.0;6.51;85.7;2.62
338.0;699.55;87.0;6.87;79.55;2.62
216.0;125.33;171.0;7.2;76.65;2.55
266.0;495.69;109.0;7.57;71.15;2.48
204.0;626.32;57.0;7.66;71.15;2.21
87.0;480.75;30.0;7.31;73.8;1.38
0.0;0.0;0.0;6.19;79.5;0.97
0.0;0.0;0.0;4.33;85.55;1.38
0.0;0.0;0.0;3.03;88.7;1.45
0.0;0.0;0.0;2.16;92.1;1.45
0.0;0.0;0.0;1.38;92.05;1.38
0.0;0.0;0.0;0.88;92.05;1.31
0.0;0.0;0.0;0.25;95.65;1.31
0.0;0.0;0.0;-0.53;99.4;1.38
0.0;0.0;0.0;-0.97;99.4;1.38
0.0;0.0;0.0;-1.34;99.4;1.38
0.0;0.0;0.0;-1.42;95.6;1.45
0.0;0.0;0.0;-1.29;95.6;1.52
0.0;0.0;0.0;-1.28;91.9;1.59
0.0;0.0;0.0;-1.52;88.35;1.59
0.0;0.0;0.0;-1.98;88.3;1.52
0.0;0.0;0.0;-2.07;91.85;1.38
78.0;294.18;43.0;-1.66;91.9;1.38
215.0;687.03;53.0;1.0;88.55;1.17
314.0;797.26;60.0;4.31;79.3;1.03
363.0;821.1;66.0;6.72;73.7;1.03
360.0;797.87;71.0;8.48;63.7;0.97
315.0;793.56;61.0;9.57;59.25;0.9
225.0;760.0;44.0;9.96;59.35;0.69
93.0;516.18;30.0;9.14;79.85;0.69
0.0;0.0;0.0;7.91;68.6;1.03
0.0;0.0;0.0;5.41;73.65;1.38
0.0;0.0;0.0;2.51;82.15;1.72
0.0;0.0;0.0;-0.01;92.0;1.79
0.0;0.0;0.0;-0.65;88.45;1.79
0.0;0.0;0.0;-0.8;88.4;1.79
0.0;0.0;0.0;-1.0;88.4;1.79
0.0;0.0;0.0;-0.94;85.0;1.79
0.0;0.0;0.0;-0.84;85.0;1.86
0.0;0.0;0.0;-0.71;81.75;1.86
0.0;0.0;0.0;-0.67;81.75;1.86
0.0;0.0;0.0;-0.67;81.75;1.72
0.0;0.0;0.0;-0.74;81.75;1.72
0.0;0.0;0.0;-0.85;85.0;1.66
0.0;0.0;0.0;-0.99;88.4;1.59
0.0;0.0;0.0;-1.59;91.9;1.59
78.0;289.12;43.0;-1.11;91.95;1.45
214.0;675.89;53.0;2.09;88.65;1.1
314.0;796.73;58.0;5.51;76.5;1.1
360.0;800.61;68.0;7.78;73.9;1.24
356.0;777.08;72.0;8.73;71.35;1.45
311.0;763.5;64.0;9.31;68.8;1.52
220.0;699.21;51.0;9.3;71.4;1.24
78.0;254.75;46.0;8.31;76.8;1.45
0.0;0.0;0.0;6.56;82.55;1.59
0.0;0.0;0.0;4.14;88.8;1.86
0.0;0.0;0.0;2.46;88.65;1.86
0.0;0.0;0.0;1.15;92.05;1.79
0.0;0.0;0.0;0.29;95.65;1.79
0.0;0.0;0.0;0.04;95.6;1.86
0.0;0.0;0.0;0.65;95.65;1.86
0.0;0.0;0.0;0.45;95.65;1.93
0.0;0.0;0.0;0.45;95.65;1.79
0.0;0.0;0.0;0.47;95.65;1.79
0.0;0.0;0.0;0.19;95.6;1.79
0.0;0.0;0.0;-0.13;95.6;1.86
0.0;0.0;0.0;0.05;95.6;1.86
0.0;0.0;0.0;1.06;92.05;1.72
0.0;0.0;0.0;1.52;95.65;1.66
0.0;0.0;0.0;2.79;95.7;1.38
61.0;105.47;48.0;2.92;95.7;1.45
88.0;12.46;85.0;3.87;95.75;1.24
234.0;277.65;144.0;6.07;92.3;1.31
251.0;209.33;174.0;7.14;89.0;1.59
292.0;374.16;154.0;7.89;79.7;1.93
272.0;470.9;118.0;8.38;71.35;2.21
131.0;93.75;108.0;8.2;71.25;2.21
61.0;85.11;50.0;7.43;73.9;1.79
0.0;0.0;0.0;6.12;79.5;1.93
0.0;0.0;0.0;4.64;88.85;2.07
0.0;0.0;0.0;3.65;92.15;2.07
0.0;0.0;0.0;3.22;95.7;1.86
0.0;0.0;0.0;3.29;95.7;1.79
0.0;0.0;0.0;3.36;95.7;1.79
0.0;0.0;0.0;3.02;95.7;1.79
0.0;0.0;0.0;2.98;95.7;1.79
0.0;0.0;0.0;2.94;95.7;1.66
0.0;0.0;0.0;2.87;95.7;1.66
0.0;0.0;0.0;2.78;92.15;1.72
0.0;0.0;0.0;2.48;95.7;1.45
0.0;0.0;0.0;2.03;95.65;1.52
0.0;0.0;0.0;1.44;95.65;1.31
0.0;0.0;0.0;1.21;99.35;1.38
0.0;0.0;0.0;1.58;95.65;1.52
28.0;0.0;28.0;1.22;99.35;1.72
38.0;0.0;38.0;1.07;95.65;2.0
64.0;0.0;64.0;1.21;95.65;2.07
201.0;72.77;174.0;1.47;88.6;2.07
64.0;0.0;64.0;1.97;82.05;1.93
70.0;0.0;70.0;2.23;82.05;1.86
89.0;8.03;87.0;2.02;78.95;1.79
66.0;97.77;53.0;1.53;82.0;2.0
0.0;0.0;0.0;0.82;81.95;1.52
0.0;0.0;0.0;-0.16;88.45;1.31
0.0;0.0;0.0;-1.16;91.95;1.1
0.0;0.0;0.0;-1.18;88.4;0.9
0.0;0.0;0.0;-1.03;85.0;0.76
0.0;0.0;0.0;-1.26;85.0;0.62
0.0;0.0;0.0;-1.51;88.35;0.76
0.0;0.0;0.0;-2.23;88.3;0.9
0.0;0.0;0.0;-2.76;88.25;0.97
0.0;0.0;0.0;-2.77;88.25;0.9
0.0;0.0;0.0;-3.27;91.8;0.97
0.0;0.0;0.0;-3.45;95.5;1.1
0.0;0.0;0.0;-3.6;95.5;1.31
0.0;0.0;0.0;-3.85;95.5;1.38
0.0;0.0;0.0;-3.6;95.5;1.38
0.0;0.0;0.0;-2.71;91.85;1.17
36.0;0.0;36.0;-2.44;95.55;1.03
91.0;8.13;89.0;-1.41;91.9;1.45
122.0;6.06;120.0;-0.87;91.95;1.86
68.0;0.0;68.0;-0.53;88.45;2.41
63.0;0.0;63.0;-0.36;85.05;2.83
165.0;47.85;149.0;-0.37;85.05;2.76
119.0;43.51;108.0;-0.54;85.05;2.9
48.0;14.63;46.0;-0.99;81.7;3.24
0.0;0.0;0.0;-1.55;84.95;2.76
0.0;0.0;0.0;-2.23;84.85;2.62
0.0;0.0;0.0;-2.47;88.25;2.34
0.0;0.0;0.0;-2.92;91.8;2.28
0.0;0.0;0.0;-2.84;91.8;2.97
0.0;0.0;0.0;-2.84;91.8;3.17
0.0;0.0;0.0;-2.83;91.8;3.17
0.0;0.0;0.0;-2.97;91.8;3.24
0.0;0.0;0.0;-3.0;91.8;3.31
0.0;0.0;0.0;-3.23;91.8;2.41
0.0;0.0;0.0;-3.3;95.5;2.41
0.0;0.0;0.0;-3.51;91.8;2.62
0.0;0.0;0.0;-3.8;95.5;2.55
0.0;0.0;0.0;-3.87;91.75;2.62
0.0;0.0;0.0;-3.89;91.75;2.69
0.0;0.0;0.0;-3.7;91.8;3.03
32.0;0.0;32.0;-3.73;88.2;2.83
73.0;0.0;73.0;-3.28;84.7;4.21
59.0;0.0;59.0;-2.35;69.35;4.83
57.0;0.0;57.0;-1.72;61.55;4.9
63.0;0.0;63.0;-1.36;61.55;4.97
65.0;0.0;65.0;-1.38;61.55;4.97
64.0;0.0;64.0;-1.5;61.55;4.55
52.0;21.34;49.0;-1.84;66.65;4.0
0.0;0.0;0.0;-2.41;69.35;3.45
0.0;0.0;0.0;-3.44;75.05;3.24
0.0;0.0;0.0;-3.81;78.05;3.1
0.0;0.0;0.0;-4.29;78.05;3.1
0.0;0.0;0.0;-4.63;78.05;3.03
0.0;0.0;0.0;-4.68;74.95;3.1
0.0;0.0;0.0;-4.82;78.0;3.1
0.0;0.0;0.0;-4.99;78.0;3.03
0.0;0.0;0.0;-5.32;77.9;2.83
0.0;0.0;0.0;-5.47;77.9;2.55
0.0;0.0;0.0;-5.74;74.8;2.55
0.0;0.0;0.0;-5.98;77.85;2.48
0.0;0.0;0.0;-6.23;77.85;2.69
0.0;0.0;0.0;-6.42;77.75;2.62
0.0;0.0;0.0;-6.51;77.75;2.62
0.0;0.0;0.0;-6.3;74.7;2.62
52.0;30.04;48.0;-6.18;74.7;2.9
110.0;27.79;103.0;-5.36;71.75;3.52
171.0;50.51;154.0;-4.43;66.25;3.52
170.0;20.98;162.0;-3.78;63.7;3.59
124.0;0.0;124.0;-3.22;61.2;3.59
102.0;0.0;102.0;-2.91;61.2;3.72
70.0;0.0;70.0;-2.89;61.2;3.72
49.0;13.84;47.0;-2.99;61.2;3.79
0.0;0.0;0.0;-3.25;61.2;3.31
0.0;0.0;0.0;-3.7;66.35;2.69
0.0;0.0;0.0;-4.51;66.25;2.62
0.0;0.0;0.0;-5.16;63.45;2.55
0.0;0.0;0.0;-5.5;66.05;2.48
0.0;0.0;0.0;-5.79;66.05;2.48
0.0;0.0;0.0;-6.06;68.75;2.48
0.0;0.0;0.0;-6.37;71.55;2.48
0.0;0.0;0.0;-6.66;71.55;2.41
0.0;0.0;0.0;-6.94;71.5;2.41
0.0;0.0;0.0;-7.19;71.5;2.34
