ghi;dni;dhi;temp_air;rh;ws10
0.0;0.0;0.0;6.17;79.5;4.9
0.0;0.0;0.0;5.53;82.5;4.62
0.0;0.0;0.0;4.7;85.55;4.48
0.0;0.0;0.0;4.38;85.55;4.55
61.0;425.33;24.0;4.54;85.55;5.03
175.0;666.57;46.0;5.15;82.4;5.17
243.0;621.74;76.0;5.83;76.55;4.83
258.0;455.88;118.0;6.4;70.95;6.48
245.0;381.85;128.0;6.72;68.3;6.48
228.0;513.98;91.0;6.83;63.35;6.07
156.0;504.58;60.0;6.8;65.75;5.38
56.0;398.88;23.0;6.33;63.25;4.55
0.0;0.0;0.0;5.44;63.15;4.34
0.0;0.0;0.0;5.04;63.05;4.07
0.0;0.0;0.0;4.79;65.4;4.21
0.0;0.0;0.0;4.77;73.45;5.72
0.0;0.0;0.0;4.75;68.0;6.21
0.0;0.0;0.0;4.59;73.45;7.45
0.0;0.0;0.0;4.5;76.3;8.14
0.0;0.0;0.0;4.25;79.2;8.76
0.0;0.0;0.0;4.0;79.2;8.21
0.0;0.0;0.0;3.91;79.2;7.72
0.0;0.0;0.0;3.87;73.4;6.97
0.0;0.0;0.0;3.97;70.6;6.83
0.0;0.0;0.0;4.17;65.3;6.83
0.0;0.0;0.0;4.15;62.8;6.76
0.0;0.0;0.0;4.24;60.4;6.62
0.0;0.0;0.0;4.11;60.4;6.21
39.0;66.78;33.0;4.09;65.3;6.07
127.0;203.39;87.0;4.34;62.95;6.21
103.0;11.03;100.0;4.67;65.4;6.34
103.0;3.22;102.0;4.89;63.05;7.72
146.0;35.46;135.0;5.1;63.05;8.14
225.0;454.71;102.0;5.26;60.65;7.52
167.0;586.81;53.0;5.44;58.45;5.93
50.0;230.62;30.0;5.12;60.65;4.9
0.0;0.0;0.0;4.72;60.5;4.55
0.0;0.0;0.0;4.26;62.8;4.41
0.0;0.0;0.0;3.9;65.3;4.34
0.0;0.0;0.0;3.65;67.8;4.28
0.0;0.0;0.0;3.51;70.5;4.28
0.0;0.0;0.0;3.24;73.2;3.93
0.0;0.0;0.0;2.94;73.2;3.72
0.0;0.0;0.0;2.78;76.0;3.72
0.0;0.0;0.0;2.48;73.1;3.72
0.0;0.0;0.0;1.94;75.95;3.79
0.0;0.0;0.0;1.67;75.85;3.93
0.0;0.0;0.0;1.84;75.95;4.28
0.0;0.0;0.0;1.92;75.95;4.76
0.0;0.0;0.0;1.26;67.3;5.93
0.0;0.0;0.0;-0.79;64.25;6.21
0.0;0.0;0.0;-1.59;69.55;5.03
53.0;204.72;34.0;-0.98;75.45;4.21
117.0;135.06;90.0;-0.37;78.6;4.48
103.0;7.26;101.0;0.25;72.65;5.72
176.0;85.85;149.0;0.64;69.95;5.24
215.0;203.72;151.0;0.91;64.65;4.62
179.0;174.83;131.0;1.18;62.15;3.93
71.0;10.08;69.0;1.26;62.15;3.24
46.0;132.18;34.0;1.03;62.15;2.34
0.0;0.0;0.0;0.45;64.55;1.59
0.0;0.0;0.0;-0.3;72.6;1.72
0.0;0.0;0.0;-0.68;72.6;2.14
0.0;0.0;0.0;-0.88;75.45;2.69
0.0;0.0;0.0;-1.24;72.5;2.97
0.0;0.0;0.0;-1.37;75.35;3.03
0.0;0.0;0.0;-1.56;75.35;3.1
0.0;0.0;0.0;-1.7;75.35;3.45
0.0;0.0;0.0;-1.81;78.35;3.66
0.0;0.0;0.0;-1.91;78.35;3.93
0.0;0.0;0.0;-2.08;78.35;4.28
0.0;0.0;0.0;-2.26;81.5;4.55
0.0;0.0;0.0;-2.43;81.5;4.9
0.0;0.0;0.0;-2.58;81.5;5.1
0.0;0.0;0.0;-2.75;81.5;5.38
